date,1. open,2. high,3. low,4. close,5. volume
2014-12-11,1.9061,1.9097,1.8935,1.9057,0.0
2014-12-10,1.8902,1.9056,1.8802,1.8892,0.0
2014-12-09,1.8898,1.8948,1.8789,1.8894,0.0
2014-12-08,1.8854,1.9017,1.8755,1.8854,0.0
2014-12-07,1.874,1.8849,1.8712,1.8732,0.0
2014-12-04,1.8695,1.8789,1.8648,1.8694,0.0
2014-12-03,1.8687,1.8748,1.8626,1.8679,0.0
2014-12-02,1.8497,1.8652,1.8482,1.8495,0.0
2014-12-01,1.8553,1.8578,1.8412,1.8554,0.0
2014-11-30,1.8502,1.854,1.8447,1.8498,0.0
2014-11-27,1.8444,1.8503,1.8347,1.8446,0.0
2014-11-26,1.8501,1.8506,1.8342,1.8501,0.0
2014-11-25,1.8368,1.8561,1.8338,1.8371,0.0
2014-11-24,1.8241,1.8429,1.8213,1.8242,0.0
2014-11-23,1.8025,1.8219,1.7994,1.802,0.0
2014-11-20,1.8199,1.8199,1.7978,1.82,0.0
2014-11-19,1.8214,1.8263,1.8181,1.8221,0.0
2014-11-18,1.7939,1.8172,1.7939,1.7944,0.0
2014-11-17,1.7958,1.8006,1.7876,1.7954,0.0
2014-11-16,1.7897,1.7972,1.7861,1.79,0.0
2014-11-13,1.8032,1.8056,1.7919,1.8031,0.0
2014-11-12,1.8104,1.8168,1.798,1.8097,0.0
2014-11-11,1.8292,1.8348,1.8094,1.8289,0.0
2014-11-10,1.8374,1.8435,1.8323,1.8367,0.0
2014-11-09,1.837,1.8384,1.8313,1.8371,0.0
2014-11-06,1.8502,1.8523,1.8347,1.85,0.0
2014-11-05,1.8605,1.8648,1.8473,1.8608,0.0
2014-11-04,1.8297,1.8611,1.8282,1.829,0.0
2014-11-03,1.8377,1.8455,1.829,1.8374,0.0
2014-11-02,1.8245,1.8385,1.8226,1.8246,0.0
2014-10-30,1.8122,1.8211,1.8093,1.8129,0.0
2014-10-29,1.8248,1.8248,1.8143,1.8251,0.0
2014-10-28,1.8214,1.8217,1.8114,1.8214,0.0
2014-10-27,1.831,1.8317,1.821,1.8311,0.0
2014-10-26,1.827,1.8344,1.8246,1.8277,0.0
2014-10-23,1.8302,1.8379,1.8206,1.8301,0.0
2014-10-22,1.8299,1.8333,1.819,1.8296,0.0
2014-10-21,1.8374,1.8382,1.8222,1.8369,0.0
